# Name of the FOGGEI halo
# Name of the snapshot
# Redshift of snapshot
# Cosmological time of the snapshot (Gyr)
# Log of stellar mass (in Msun)
# Log of total metallicity (in Zsun)
# Log of the median of the metallicity distribution (in Zsun)
# Log of inter-quartile range of the distribution (75th - 25th percentile) (in Zsun)
# Fitted gradient of the radial profile, with uncertainty (in dex/kpc)
halo	output	redshift	time	log_mass	log_Ztotal	log_Z50	log_ZIQR	Zgrad
Tempest	DD0130	4.3629918190107	1.4108339420702596	6.910833678102519	-0.8625074541699511	-0.8760164072077451	0.22884572181878493	-1.08+/-0.11
Tempest	DD0131	4.349329161162499	1.4162133406331217	6.9562963531152375	-0.8272677133366316	-0.8724498359923505	0.29951885517150667	-1.11+/-0.09
Tempest	DD0132	4.3357523555018	1.4215927391959846	6.94988033485074	-0.8134563390142311	-0.8432143314551463	0.2897086038758978	-1.06+/-0.08
Tempest	DD0133	4.3222605379848	1.4269721377588471	6.95387012528987	-0.8179598463583491	-0.8187475072022121	0.27958471047055566	-0.89+/-0.08
Tempest	DD0134	4.308852856474799	1.4323515363217096	6.955981484831981	-0.8232994609001391	-0.7920171326555199	0.26459060400661705	-0.83+/-0.07
Tempest	DD0135	4.2955284705345	1.4377309348845717	6.9559259977900565	-0.8313893827725314	-0.792915307097329	0.2594579872233299	-0.77+/-0.06
Tempest	DD0136	4.2822865512222	1.4431103334474344	6.955925353993985	-0.8395768299457798	-0.7945425801683581	0.2692010413239976	-0.73+/-0.05
Tempest	DD0137	4.269126280892	1.448489732010297	5.4634638365530845	-2.582730273422913	-3.455662434262304	1.420523537302408	(1.89+/-0.12)e-07
Tempest	DD0138	4.2560468529995	1.4538691305731597	8.721598306735006	-0.05576008558642378	-0.4138516559294815	0.78350216607414	0.14+/-0.09
Tempest	DD0139	4.243047471909899	1.459248529136022	8.728556561179943	-0.04568645671505527	-0.3653308037928292	0.7419257304229591	0.10+/-0.06
Tempest	DD0140	4.2301273527112	1.4646279276988845	8.74430259863123	-0.04368235212307567	-0.2568308518723985	0.6425988575239846	0.13+/-0.07
Tempest	DD0141	4.2172857210312005	1.4700073262617468	8.79099070256415	-0.04019070564493445	-0.1387590687411522	0.5720050456157875	0.18+/-0.06
Tempest	DD0142	4.2045218128574	1.4753867248246093	8.795503847126131	-0.03881909464077442	-0.13594728165883765	0.6147520278777459	0.23+/-0.10
Tempest	DD0143	4.1918348743621	1.4807661233874718	8.801256746127596	-0.041153514696212125	-0.11809287461225965	0.5514606687274504	0.20+/-0.10
Tempest	DD0144	4.1792241617295005	1.4861455219503343	8.817539231849915	-0.0344360510565789	-0.10661284708323704	0.5137004251510014	-0.42+/-0.05
Tempest	DD0145	4.1666889409876005	1.4915249205131969	8.834469119956882	-0.01623517283472289	-0.0628297319028209	0.41495355468550216	-0.13+/-0.05
Tempest	DD0146	4.1542284878426	1.4969043190760594	8.855027133629749	0.02999549137217392	-0.030778371585498437	0.4312535953631902	-0.431+/-0.024
Tempest	DD0147	4.1418420875174	1.5022837176389217	8.867644831506924	0.04586818591232627	0.0017261524773754798	0.42848033140961567	-0.39+/-0.04
Tempest	DD0148	4.1295290345929	1.5076631162017842	8.874984054080295	0.06407116651797908	0.03127973845943613	0.388744016219009	-0.342+/-0.026
Tempest	DD0149	4.1172886328527	1.513042514764647	8.880286517080924	0.06864927949580701	0.060739384276817736	0.31361053258094557	-0.359+/-0.031
Tempest	DD0150	4.1051201951306	1.5184219133275092	8.887190916759502	0.07421825384731437	0.08548793527050558	0.3135741082720302	-0.35+/-0.04
Tempest	DD0151	4.0930230431618	1.5238013118903715	8.892621708162611	0.08147608739246147	0.08930848836332995	0.3193990159809922	-0.37+/-0.06
Tempest	DD0152	4.0809965074364	1.5291807104532342	8.897181874617871	0.08520588410648837	0.09480381202366704	0.32752771810526327	-0.42+/-0.06
Tempest	DD0153	4.0690399270562	1.5345601090160963	8.905388423853918	0.09273660215799227	0.12464722378555275	0.35264011698785414	-0.48+/-0.04
Tempest	DD0154	4.0571526495942996	1.5399395075789588	8.912345060566484	0.0990695475961073	0.12182768893197375	0.4102965450279645	-0.454+/-0.027
Tempest	DD0155	4.0453340309572	1.5453189061418215	8.921128351963253	0.10533839403476934	0.15102450626562136	0.4255174613847389	-0.434+/-0.031
Tempest	DD0156	4.033583435249899	1.550698304704684	8.929006373420236	0.11254964129239498	0.1576783949181336	0.4262374414663457	-0.38+/-0.04
Tempest	DD0157	4.0219002346435	1.5560777032675466	8.937659519025464	0.12192581221539628	0.17851482557122633	0.4822725459080786	-0.40+/-0.04
Tempest	DD0158	4.0102838092457	1.561457101830409	8.94337579992632	0.13217805652348902	0.1731553306375801	0.5135586916390144	-0.44+/-0.05
Tempest	DD0159	3.9987345722087	1.566836021538986	8.947044653785047	0.13582694442165014	0.18694876529829216	0.5265606290511092	-0.47+/-0.05
Tempest	DD0160	3.9872488433254	1.5722158990040322	8.95528106559847	0.13218694759764432	0.1747286226763069	0.5863800050548696	-0.467+/-0.028
Tempest	DD0161	3.9758291017711	1.5775952975189964	8.960424709386928	0.1441880762722616	0.1452213353847946	0.5779038036360975	-0.519+/-0.020
Tempest	DD0162	3.9644737326098003	1.5829746960818591	8.963912934840709	0.14151187069370055	0.13859436759010066	0.565869566083635	-0.509+/-0.032
Tempest	DD0163	3.9531821538731005	1.5883540946447214	8.969013208848185	0.13187803964962586	0.11363334263814885	0.5716135969796539	-0.545+/-0.023
Tempest	DD0164	3.9419537906993996	1.593733493207584	8.974012454259288	0.12920597760110064	0.09821093719412677	0.5296075466296536	-0.63+/-0.04
Tempest	DD0165	3.9307880753231	1.5991128917704462	8.97595885579968	0.12295199330577795	0.11376454879929855	0.49378678547672167	-0.63+/-0.05
